rubrik;kategori;kategori_detaljerad;ort;lat;long;url;bildurl;datum
Skyddsombudet Theresia slog larm om många sjuka elever – skola drabbad av svartmögel;arbetsvillkor;arbetsmiljö;Arvika;59.6553;12.5852;https://ka.se/2024/09/18/skyddsombudet-theresia-slog-larm-om-manga-sjuka-elever-skola-drabbat-av-mogel/;https://media.arto.se/app/uploads/sites/10/2024/09/mogel-sajt.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-09-18
Förskolepersonalen i Eda får arbetskläder som är anpassade till vädret;arbetskläder;arbetskläder;Eda;59.9315;12.2997;https://ka.se/2024/09/19/forskolepersonalen-i-eda-far-arbetsklader-som-ar-anpassade-till-vadret/;https://media.arto.se/app/uploads/sites/10/2023/01/ka-forskolasjoboarbetsklader-ub.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-09-19
Undersköterskan Zaklina blev av med delade turer efter 11 år;arbetstid;schema;Skänninge;58.3925;15.0862;https://ka.se/2024/09/19/underskoterskan-zaklina-blev-av-med-delade-turer-efter-11-ar-det-ar-underbart/;https://media.arto.se/app/uploads/sites/10/2024/09/sajten-1.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-09-19
Här får undersköterskorna betalt för att vila;arbetstid;arbetstidsförkortning;Norrköping;58.5942;16.1826;https://ka.se/2024/09/30/har-far-underskoterskorna-betalt-for-att-vila-sjukhus-kunde-utfora-fler-operationer/;https://media.arto.se/app/uploads/sites/10/2024/09/vrinnevisjuhuset-6.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-09-30
Kommunalare slipper anmäla papperslösa: ”Inte vårt jobb att vara gränspoliser”;arbetsvillkor;arbetsvillkor;Sverige;61.71735;18;https://ka.se/2024/11/26/kommunalare-slipper-anmala-papperslosa-inte-vart-jobb-att-vara-granspoliser/;https://media.arto.se/app/uploads/sites/10/2024/11/ny.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-11-26
Efter KA:s granskning: Här ska lönerna öka för de som tjänar minst;lön;lön;Olofström;56.2718;14.5289;https://ka.se/2024/11/25/efter-kas-granskning-har-ska-lonerna-oka-for-de-som-tjanar-minst/;https://media.arto.se/app/uploads/sites/10/2024/11/hampusolofsson-sajt.jpeg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-11-25
Marie och kollegorna får fortsätta med kortare arbetstid: ”Roligt att gå till jobbet”;arbetstid;arbetstidsförkortning;Borgholm;56.8752;16.6655;https://ka.se/2024/10/09/marie-och-kollegorna-kan-fa-fortsatta-med-kortare-arbetstid-roligt-att-ga-till-jobbet/;https://media.arto.se/app/uploads/sites/10/2024/10/borgholm.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-10-09
”Vi ska inte förstöra våra kroppar” – hundratals undersköterskor får kortad arbetstid;arbetstid;arbetstidsförkortning;Region Stockholm;59.2094;18.0564;https://ka.se/2024/10/25/vi-ska-inte-forstora-vara-kroppar-hundratals-underskoterskor-far-kortad-arbetstid/;https://media.arto.se/app/uploads/sites/10/2024/10/joar.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-10-25
Pajala dubblar ob-ersättningen i äldreomsorgen;lön;ob;Pajala;67.2149;23.3662;https://ka.se/2024/10/29/pajala-dubblar-ob-ersattningen-i-aldreomsorgen/;https://media.arto.se/app/uploads/sites/10/2024/10/pajala-anna-karindrugge.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-10-29
Skyddsombudet Louise motarbetades av chefen – får 30 000 kronor i skadestånd;arbetsvillkor;förtroendevald;Vänersborg;58.359;12.337;https://ka.se/2024/11/18/skyddsombudet-louise-motarbetades-av-chefen-far-30-000-kronor-i-skadestand/;https://media.arto.se/app/uploads/sites/10/2024/11/louise-skyddsombud.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-11-18
De ska jobba sex timmar – och få betalt för åtta: ”Jag kommer få mer tid för mina barn”;arbetstid;arbetstidsförkortning;Västerås;59.604;16.5305;https://ka.se/2024/12/04/de-ska-jobba-sex-timmar-och-fa-betalt-for-atta-jag-kommer-fa-mer-tid-for-mina-barn/;https://media.arto.se/app/uploads/sites/10/2024/12/hamideh3.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-12-04
